"Label","Tweet"
"leave","Taxpayer Funding Pro-EU Adverts https://t.co/iFuX32mngT via @guidofawkes\nMORE CAMERON DIRTY TRICKS \u0026amp; Prob illegal\n#Brexit #StrongerIN NOT"
"leave","NOT ON YOUR NELLY FRAU MERKEL!!! https://t.co/lTi5100YXg"
"leave","https://t.co/6pJ2CzEQQJ\nA vote for the EU is a vote for TTIP and the end of the NHS for US style healthcare. #Brexit"
"stay","BAE Fears #Brexit `Domino Effect' With Scottish Shipyards at Risk https://t.co/mkoTBVLqXu via @business"
"leave","Wales migrants criticises 445 migrants before Christmas , should 'get in the sea', BBC #Brexit"
"leave","Donald Trump backs Brexit, saying UK would be 'better off' without EU https://t.co/zVRJwVKkz7"
"stay","@vote_leave Repeating a falsehood does not make it a fact. https://t.co/489D6WMudi\nDon't be fooled into Brexit\nUK is #StrongerIn #EU"
"leave","@LeaveEUOfficial @guardian Don't know about Cameron calling for Trip deal,We should call for this pricks Resignation He's fuckin up the UK😬"
"stay","A Brexit could spell a mass exodus of EU workers because they\u0026amp;#39;d fail immigration rules - Yahoo Finance UK https://t.co/AjRGIqjjAb via"
"leave","Global Innovation Index\n#StrongerIn? Nope Non-EU Switzerland is top \u0026amp; UK 2nd\n#Brexit https://t.co/Vi7yb0x763"
"leave","Undecided for Brexit ? A good video explains it all. Have a look and Share. What sort of country do you want your... https://t.co/OTzGNv34KJ"
"stay","Excellent article on Gibraltar. Please RT. Britain needs to know about the effect of #Brexit. We need to #Remain https://t.co/e2hs5v0wkh"
"stay","In case you needed any more incentive to vote 'in' at the referendum... https://t.co/OCZucJ8pIg"
"leave","@rabite Thats what VPNs are for - welcome to 1984 - The Goal of the EU is to be able to censor all of Europe #Brexit #LeaveEU #Leave"
"leave","The Brexit Noose Around The Neck Of The NWO https://t.co/eO8L4FzP6F"
"leave","#EU #VoteLeave #LeaveEU #brexit https://t.co/OgXoGJUFLB"
"stay","@RupertStiglitz I bow to your intellectual superiority. You and all the other mad #Brexit nutters."
"leave","Cameron should reveal his plans as he's going to be in charge of #Brexit. Please sign! #EUreferendum #VoteLeave \nhttps://t.co/47XfvctzLL"
"leave","Trump on Brexit vote: Great Britain is 'better off without' Europe\nhttps://t.co/uk4O8gSHU5 via @MailOnline"
"stay","#Japan's Abe Shinzo weighs in on #Brexit debate https://t.co/NVBzdqqGFb"
"leave","Donald Trump opines on British politics, backs Brexit https://t.co/wo3D3U3o3k | https://t.co/aVHANBebFk https://t.co/3FmUdNW1Ju"
"leave","@Number10gov Ministers face battle to get Housing Bill into law - https://t.co/RYj9KsEpCZ #BrExit 4 more houses 4 indigenous ppl of britain"
"leave","#Brexit #VoteLeave  https://t.co/dXc1a40gOt"
"stay","Reason 29 to #Remain - The multi-national next generation. https://t.co/b872BTQqz9 #strongerin #euref #brexit #brexpats"
"stay","@LeaveEUOfficial @YouTube Straight out of \""Dreamworks\"" studios? Deplorable! #Brexit #LeaveEU"
"stay","EU exit would make UK 'less attractive' to investors, says Japan's PM #Elections2016 #uk #StrongerIn #Brexit  https://t.co/sAJkXfl0WN"
"leave","Brexit: The (animated) Movie https://t.co/fpzdtWvRxh via @YouTube"
"leave","How the EU 'operates'.... #VoteLeave https://t.co/9rjpnA36H6"
"stay","Stops them voting for change and removes 2m supporters of a better Europe.  https://t.co/3zesWbDZ5B"
"leave","Despite threat of another #NorthernIrish #border #McWilliams backs #Brexit for #Irish gain https://t.co/gAqhDa8iwN https://t.co/5P666e1AOw"
"stay","Prof Minford is the conceited surgeon that claims his #brexit operation was successful\njust too bad the patient died https://t.co/XxVqH5oD1B"
"stay","Why Countrywide Plc \u0026amp; Foxtons Group Plc can't afford Brexit https://t.co/umOfoONylR #Estateagents"
"leave","@LeaveEUOfficial https://t.co/jTFPSg22Wa"
"leave","Britain faces migrant CHAOS: New 'summer of discontent' as thousands plot to storm border https://t.co/AzvS63Bwab\nShould promote #Brexit"
"leave","EU referendum: Donald Trump backs Brexit - BBC News https://t.co/Dq4YCxMd1Q"
"stay","If ever there was a reason to vote to remain...EU referendum: Donald Trump backs Brexit - https://t.co/TamHbyXCIv"
"leave","Does anyone believe in vote corruption in UK . I get the feeling because the Government don't want us to leave that we won't leave. #Brexit"
"stay","A good piece. The Brexit case on sovereignty is fundamentally Hobbesian. No checks/balances/rule of law acceptable. \nhttps://t.co/U2JO5TY5TL"
"leave","@LeaveEUOfficial @Grassroots_out  @Brexit_News https://t.co/AE7QUjefqE"
"leave","@StrongerIn higher education is a privilege and not a right, these 'students' need to be reminded of that!"
"leave","@StrongerIn so if we stay in eu that means we get more zero hours contracts and employers can say 'we dont need to now, fuck off'"
"leave","#Strongerin Remember girls..it was the EU that taxed Fanny Pads\n#Voteleave for fresher flange https://t.co/RZSF0yD11W"
"leave","#VoteOut the Establishment - They are going against the will of the people. Lobbyist run their lives. #Trump2016 https://t.co/HBklZulhf3"
"stay","@vote_leave Another week of you lying about the cost of the EU. Another week of working with our neighbours. @StrongerIn"
"leave","EU’s own Frontex Agency recently concluded EU makes us less safe https://t.co/soCN7io721 #brexit #voteleave #euref #remain #go #leaveeu"
"leave","Hasn't this result just robbed the Remain campaign of a key and long-standing argument against #Brexit: the risk to the Union? #SP16"
"stay","#Brexit is a bad idea, bound to produce unintended consequences. I explain why in this short video: https://t.co/illFJUiaej"
"leave","@grumpyfred3  https://t.co/7ueOylGX3g"
"leave","Its close as expected, recommending to Vote Leave tomorrow!\nEU referendum: 50:50 split in latest poll of polls https://t.co/vynmHIGoKz"
"leave","@2tweetaboutit @Fight4UK   Con. Normal political bribery. Vote UKIP for change to honesty. Nigel consistent with answers \u0026amp; truth. BREXIT."
"leave","Lost ID.  Doubtless a large percentage will be well over 16, just like in Sweden.  Why do we fall for it? #brexit https://t.co/rY2kcvguLY"
"stay","Thanks Charles! @Europol @StrongerIn  https://t.co/78veCZX4T0"
"stay","Brexit May Spell Doom for Fintech and Bitcoin. In the UK, That Is https://t.co/gXucUQgw3J"
"leave","@AndyButcher5 @vote_leave @VoteLeaveCymru careful that dog looks viscous !"
"leave","\""If we vote for Brexit, some of the economic things will dip, but they'll come back later.\"" \n\nThanks audience, #bbcqt"
"leave","@StrongerIn Lies, prices are higher in the eu."
"stay","Trump backs Brexit. @StrongerIn press team dance giddily round office."
"leave","@LocutusBrussels @V0TE_LEAVE @StrongerIn that's a detector in the large Hadron collider in Switzerland. Not in the EU"
"leave","This is no longer Great Britain. Last chance to save ourselves is Brexit. My apologies to this dad from UK https://t.co/muHGpUzTZP"
"stay","In 2015, Ireland-UK trade was €65 billion. Any reduction on trade due to #Brexit will be damaging to both our economies."
"leave","#VoteLeave #Brexit https://t.co/Gwh5XaMW3q"
"stay","One Indication That #Brexit Worries Are Already Hurting the U.K. Economy https://t.co/9vNq7flD1K via @markets"
"stay","RT: This is so powerful. The EU means so much for peace and democracy, and we take it for granted. #StrongerIn https://t.co/WYjIHspXT0"
"leave","#Cameron and #Merkel discussing #Turkey, #Balkans \u0026amp; #EU expansionsim \nWe are not #StrongerIn. #Brexit https://t.co/MLE7OCxmq2"
"stay","Wise nephew! x https://t.co/wHuZtrarhR"
"leave","@PeterRNeumann I'm middle aged highly educated was a europhile now reluctantly vote brexit! EU Weak divided corrupt value free dictatorship"
"leave","#truth #ThursdayThoughts #TakeControl #makeithappen https://t.co/Fay1uSgVeY"
"stay","Donald's support proves it stinks to leave, fearful that people will know of this support and change their minds😱 https://t.co/04NJS7D4VL"
"leave","Stop using my money to peddle pro EU crap #VoteLeave https://t.co/6lJGiA7Mco"
"leave","@RJohnDickinson @StrongerInPress @JAPANinUK Yes, the good sense to try and talk us into making a fatal mistake."
"leave","@bbcquestiontime Your Bias towards the governments pro EU campaign is sickening. The Anti PC feeling is growing to get OUT OF THE EU.#noeu"
"leave","#bbcqt If we vote #brexit does that mean everyone will vote against is in Eurovision. . . Oh! Yes, I see: they already do."
"leave","#asylum it shames our country that we allow illegal immigrants \u0026amp; deport Afghan translators who risked their lives for our troops #voteLeave"
"leave","@DailyMirror Whenever Japan starts taking in \""refugees\"" ruining their country and culture then he can talk. Until then stfu you POS. #brexit"
"stay","Property boss says London could be overtaken by EU cities if Brexit happens https://t.co/XXzfRASMoy via @CityAM #property"
"leave","Seems we've heard her song before.....\n\n#brexit\n#leaveeu\n#go\n#votestay\n#voteleave https://t.co/WSipXbqABQ"
"stay","Trump, Le Pen, Galloway, Farage and Boris Johnson. The Brexit dream team is taking shape. https://t.co/2uxJDTPdMr"
"leave","https://t.co/UXei0TkUs1\n\nYou can't argue with Facts #VoteLeave #VoteOut 🇬🇧🇬🇧 @Liddsvez @mike076 @agedog @wooldridge21"
"leave","@GeorgeGarbow @BritainFirst @StupidHumansUSA @patcondell @Godndguns Yes. We must leave the #EU! #BREXIT"
"leave","Why, in every article from every media provide do they put a picture of Angela Markel up? She isn't de-facto leader of #EU #Brexit #leaveEU"
"leave","Thanks to David Cameron and the EU our new border is with Syria \u0026amp; Iraq they can come to UK freely 🙃🙃 just saying #VoteLeave and fuck em off"
"leave","@ChukaUmunna when he flies in, has joint press conference with PM \u0026amp; threatens us @vote_leave will condemn him"
"leave","@LeaveEUOfficial obviously @DavidCameron_MP has got a conveniently short memory. Being two faced will lose him his position as PM."
"stay","#Brexit currency concerns dampen #PrivateEquity dealmaking says @ElectraPartners Alex Fortescue https://t.co/uUryOO4mWh"
"stay","Japanese prime minister Shinzo Abe warns #Brexit could hit foreign investment - https://t.co/tw5DMSh4c2 https://t.co/XSph2VcZKX"
"leave","@PD_Politics @johnmcternan @Telegraph looking good pro yes majority. Only after a Brexit. Engerland knows best😀"
"stay","#Remain #RemainInEU @StrongerIn time to #TakeControl time to #VoteLeave and #Brexit https://t.co/0DjJrZ3JeR"
"leave","Swallows and cuckoos will need visa to migrate to UK after #Brexit, warns the #StrongerIn #LittleEU'er camp."
"stay","Vote for more hugs ❤👍 https://t.co/coYoQz5GVX #hugabrit #StrongerIn"
"leave","@StrongerIn Ha World Leaders?  You must be joking. Better off doing the opposite of what they tell us. We won't be fooled #brexit #voteleave"
"stay","🎥 in Stocksbridge today with one of Yorkshire's top businessmen. Mark Dransfield says Brexit would kill investment. https://t.co/X1MGvw2bbj"
"stay","Brexit fears putting overseas firms off UK commercial property, says report https://t.co/R84IWg0H53 #Brexit #Houses https://t.co/wEd7dCQ8Gx"
"leave","This will be the face of the UK if we don't #Brexit Our Green \u0026amp; Pleasant Land will become a concrete jungle https://t.co/00ZOhnNK6l"
"stay","Stuart Rose's viewpoint on the EU Referendum @StrongerIN https://t.co/1alB5sm6WW"
"leave","@BeverleyTruth @RJohnDickinson @vote_leave truth behind #brexit https://t.co/TfCxv5pfQW"
"stay","this was my @Science_Council blog arguing EU regs would mean companies left the uk https://t.co/GHpgcu9rIH ghost only first of many #EUref"
"leave","https://t.co/iBY1tfWzxm\n\n#VoteLeave  #LeaveEU  #EUreferendum"
"stay","Is losing the City of London really a price worth paying for Brexit? | via @telebusiness https://t.co/VFxpV3srKe"
"leave","UKIP doing as predicted at the moment.. :-) #wales2016 #brexit #voteleave #go #gogogo"
"leave","don't let this happen it's your duty to #VoteLeave https://t.co/GbQt51T2sT"
"stay","Wolfgang Tillmans designs posters opposing Brexit vote https://t.co/35YOTI1zyi via @dezeen"
"stay","The Dangers of Brexit: A Canadian Expats View #EU #Referendum https://t.co/CraC1n1Haj"
"leave","Donald Trump backs Brexit, saying UK would be 'better off' without EU https://t.co/1EC5PsgTH8"
"leave","How Brexit Presents a Roadblock to the EU-US Establishment https://t.co/Hapg5tKJJm #Infowars"
"stay","RT lionelbarber: Brexit reality: UK would be badly short of (EU) workers https://t.co/3W0vSfuQJ5"
"leave","The Eurozone Risks Intensifying its Demise Why Britain Must Leave https://t.co/I9KpgQdY7M #brexit #voteleave #euref #remain #go #June23"
"leave","@Insinuare @Langworthy_47 and I think this clearly demonstrates the #StrongerIn view that we stay not for UK benefit but only the EU's🤔 mad!"
"leave","@Williamw1 ha! I'm looking forward to the UK rejoining the wider world and reinvigorating our democracy 😉#StrongerOut #VoteLeave"
"leave","@BrexitTheMovie @Martin_Durkin Looking forward to this! See you next week. #Brexit #VoteLeave https://t.co/n65RfxM3cs"
"leave","@TonyParsonsUK @peytonjim if she manages to create a Euro army I can't see much beyond UK and France that'll do any fighting. #VoteLeave"
"leave","And they wonder why the public aren't voting for them.... #ManyATruthSaidInJest #VoteOut #UKIndependence https://t.co/0jOzZvKB0i"
"leave","No. https://t.co/ZnW9ci2qDQ"
"leave","@DanHannanMEP This has to help the brexit cause surely.  https://t.co/8Vp57gL5IV"
"leave","@David_Cameron why the change? #EUreferendum  https://t.co/Auwl4hvGuA"
"leave","Brexit let's us end to narrow minded community policies and opens ourselves to world commerce and fair trading standards for all"
"leave","@End_of_Euro @TheLocalGermany Merkelchaos hat den Anfang des Endes der EU eingefuehrt! Afrika, Nah-Ost, 70m Tuerken ohne Visa ?? #voteLeave"
"leave","@viking_tiger @End_of_Europe @RT_com Merkel is responsible for this and potentially will be responsible for ruining the continent..#Brexit"
"leave","The case for a kinder, gentler sort of Brexit.  Sounds good to me. https://t.co/3YPongo2NQ"
"leave","@David_Cameron Bullshit... The referendum can't come soon enough!!! #VoteLeave #UKIndependence #Brexit"
"stay","Europe is the European Union. It is a constitutional union, and that is what Europe is. https://t.co/tgNLrNgBpS"
"leave","Haha...get your head out the glue bag https://t.co/b6IlrDsgpy"
"stay","Brexit will leave 2 million Britons in legal limbo abroad, say peers https://t.co/kU49uqP7WW https://t.co/FtI29OU2s8"
"stay","I love ratty Brexit voters. Comedy gold #QuestionTime"
"stay","@Grabcocque @faisalislam Greens don't agree with brexit as mandate for referendum (at the moment)"
"stay","@MissTrade https://t.co/0ByO0TJjmX"
"stay","I'm voting to #Brexit because I'm sick of foreigners stealing jobs from people like me who worked so hard to steal jobs from British people."
"leave","If the EU is so good and so beneficial will the USA join?? https://t.co/c67qhajkfj"
"stay","@RupertStiglitz you'll be isolated alright after #brexit, not even your #commonwealth buddies can stand your sophistry 😅"
"leave","We could use that to deport so many foreign criminals and Muzzies.\n#Bluehand #StopIslam https://t.co/5uYJFJVNN0"
"stay","BBC News - EU referendum: Donald Trump backs Brexit https://t.co/qfwuOzgSMS\nWell if you insist Mr Trump..........you tool"
"leave",".@DrGerardLyons says that tariffs are low but that the gains of leaving the EU's customs union would be high https://t.co/E7U5pvPP98"
"leave","Don't need a trade agreement with the US if we leave - Young #EUreferendum"
"leave","@RJohnDickinson the only way uk could prevent it is by #brexit"
"leave","Donald Trump backs Brexit, saying UK would be 'better off' without EU:  https://t.co/9I9mivFK07"
"leave","@lasancmt @StrongerIn We don't need fear arguments. The #brexit campaign is for a positive step, a brighter future, setting ourselves free."
"leave","Merkel seems oblivious to fact she created the problem! Is she schizophrenic or supremely stupid? #VoteLeave #Brexit https://t.co/F8Zr3iXrxp"
"leave","@TheRosie either labour or Tory = pro EU and TTIP and destruction of NHS .. #VoteLeave #brexit"
"leave","https://t.co/9VEGSShCAb\n\nSenator Paterson (aus) on brexit"
"leave","Presumably *this* is the number one reason for #Brexit then.... https://t.co/Vc1OZyy3xX"
"stay","All about love of God, and love of neighbour really ! https://t.co/bUGDwd3V22"
"leave","#Trump Says Britain Is Better Off Outside EU #Brexit  https://t.co/mcppAOhAzm"
"leave","@vote_leave traditional labour voters will follow their party line on the EU. But @vote_leave have something here. https://t.co/fsvIsavsnG"
"leave","London mayor may be Labour's lone bright spot in local elections https://t.co/fNEbWTyebR via @Yahoocanada #Brexit #VoteLeave #LeaveEU @nero"
"leave","@larryelder please from one of your biggest UK fans, push #brexit \n\nwe need to win our referendum vote and US voices appreciated"
"leave","#Remain #RemainInEU #StrongerIn time to #TakeControl time to #VoteLeave and #Brexit https://t.co/uG1SFDEWXe"
"leave","@njjackson31 good point on Tories, especially with their start to this govt, on balance I'm still a Brexit"
"stay","Of course he did. https://t.co/TMXTv1DWE6"
"leave","This chap sounds like a Brexiter https://t.co/PfkNItfrly #EUreferendum"
"stay","#IMF warns #Denmark of risk for exports if Britain quits #EU #dkpol #politics #Brexit #dkfinans #UK #Britain  https://t.co/9Yv4iNANBn"
"stay","Donald Trump backs Brexit https://t.co/su981cJMYx How unsurprising"
"leave","@skygillian trump talks more sense than Obama on a brexit. He's more respected by normal people for speaking the truth #trumpforpresident"
"stay","@britinfluence @Mabeytweet Makes UKIP dream impossible - leave the EU and UK will soon cease to exist #EUref"
"leave","No Cameron you have failed at everything https://t.co/RdOcT3Hgbk"
"stay","\""We're gonna build a wall, and France is gonna pay for it\"" https://t.co/7s8iAlR1VZ"
"leave","Its about the cost? We are net contributors. We have also given way our fishing, lost our dairy farming. https://t.co/5cJA4HHKJI"
"leave","Well that's a point you will definitely lose it on remaining in the EU, in fact you're giving it away. https://t.co/65d05PdQ1Q"
"leave","#EuropeanUnion is not democratic #Brexit ensure UK is https://t.co/Kootj6loJf"
"leave","Donald Trump says UK would be better off with #Brexit https://t.co/N1A58TgAxm https://t.co/koPHs3pivT"
"stay","Arguments for Out not v strong here considering chaos caused https://t.co/lfOTx91tch"
"leave","Why is he still in power?! #VoteLeave #Brexit @LeaveEUOfficial @ukleave_eu @vote_leave @NoThanksEU @leavehq @leaveeu https://t.co/tovXqorfuA"
"leave","@ImNotEric You need to move to mainland Europe then #bbcqt #Brexit for British Survival"
"stay","@vote_leave ...a policy which does not apply to the UK as we are not part of Schengen zone and which will not change one iota if we leave EU"
"stay","@BorisJohnson seems to have lost his touch with the voters. Supporting #brexit has exposed him as cynical and self-serving #voteremain"
"stay","A truth we hate to admit – we are one people in #Europe #Remain #StrongerIn  https://t.co/920EdV7bL7"
"leave","@jonathanalgar hence why the BREXIT vote is irrelevant, EU RIP ⚰"
"leave","EU has 'too many part-time Europeans' - @JunckerEU Balls to your EU . Putting the Great back into Britain  #BrExit - https://t.co/wUOiWKD6br"
"leave","Fantastic evening with @JSeymourUKIP at her office in Telford alongside some great campaigners and people #VoteLeave https://t.co/rKyOs3OCAA"
"leave","@PrivateEyeNews The political masterstroke that could win it for LEAVE #Brexit #referendum https://t.co/MNDFqz27EF"
"stay","Brexit, Political Risk Premia and OTC Interest Rate Derivatives https://t.co/Wh5ixGxmyp #Brexit #Markets #Euro https://t.co/wKgpttDSGs"
"leave","This is 'truely' shocking!! #Brexit #VoteLeave @vote_leave  https://t.co/68qcr5z221"
"stay","Until we've flourished into anarcho-communism I'm voting to #remain in the  #EU #bbcqt"
"leave","@euroseptic don't fall for that EU Ponzi scheme scam! #Brexit"
"stay","Size is not all when it comes to a post-Brexit trade deal: https://t.co/5CoKCk2kvx #FT @ChrisGiles_ debunks BREXIT economic case"
"leave","Dugdale is a disaster for Labour she lost the election by suggesting she would support independence if Brexit occurs https://t.co/XySmi0kcNs"
"leave","Spread the Word https://t.co/JDgMoDqLnB #voteleave via @vote_leave"
"stay","So, if you missed it in today's FT, in the EU Brits got better off faster than in any other G7 country. #strongerIn https://t.co/WmjA6D2mFl"
"stay","#sigh  https://t.co/jnIhHG02sX"
"leave","Trump backs Brexit https://t.co/uFH4UcaY3T"
"stay","Abe would very clearly prefer Britain to remain in the EU https://t.co/7BZw8rAXmj via @forexlive #gbpusd #brexit"
"stay","As I said, yet more #BrexitLies.  Oh, and what was that your lot kept saying about #ProjectFear? #StrongerIn @DavidJo52951945 @vote_leave"
"leave","Trump backs Brexit, brands migration crisis a ‘horrible thing for Europe’ https://t.co/Xdp1fbEzSb"
"leave","God Forbid #VoteLeave #Brexit #BetterOffOut https://t.co/nylKSuV3rG"
"stay","Donald Trump backing Leave! Another one to add to our Rogues Gallery perhaps..\nhttps://t.co/n83hcJmKSZ  #EUref https://t.co/XmthR19CSO"
"leave","#bbcqt well done mr Lawson valid points for brexit"
"leave","@Dragonblaze @RoyalNavyNews NATO is far more relevant \u0026amp; effective than the #EU - too many decisionmakers #Brexit https://t.co/PNoywYr5wq"
"stay","Brexit worries top #SME agenda - via @AccountingWEBuk #Brexit \n\nhttps://t.co/Qd5WTuzayq https://t.co/UGlNVJxErN"
"leave","The EU has fallen from 54% of total UK exports in 2006, to 44% today - our future is open and global. #BeLeave https://t.co/E0HwETm7gJ"
"stay","BAE Systems lifted by contract win as chairman warns of #Brexit risks @BAESystemsplc #EUref #UKinEU #StrongerIn\nhttps://t.co/qaABJIjamN"
"leave","@Telegraph From this result we should learn what all election results will be like if we #Remain. Be sensible \u0026amp; #VoteLeave in #EUreferendum"
"leave","@SfBYorkUni UK-EU trade down 10%. If we #VoteLeave we can trade freely with emerging economies not just the declining eurozone"
"leave","@realDonaldTrump says backs #Brexit - media reports #USElections2016"
"leave","@OldSqChambers @JohnHendyQC @NadiaMotraghi @MichaelFordQC thx for terrifying talks on Brexit and #ukemplaw"
"leave","TOTALLY WICKED THANKS FOR TRYING WITH EU COURTS VAPERS VOTE BREXIT https://t.co/5SIXR9Hpmt"
"stay","The environmental case for staying in the EU https://t.co/rzhmqq4DJe via @StrongerIn"
"leave","Please people VOTE LEAVE https://t.co/lDUVjuotDn"
"leave","Cameron cannot be trusted over EU. #brexit #loughborough #voteleave #loveEurope #no2eu  https://t.co/IdX05jkTIR"
"stay","@ruminantsheep Even most fervent Brexit supporters admit there will be some near-term hit to UK economic activity due to uncertainty"
"stay","From yesterday, me for @FutureFP: Britain Could Become a Bulwark Against Nationalism After a ‘Remain’ Vote https://t.co/UQU7cO3or3  #euref"
"leave","@naimanka74 @truemagic68 @TelePolitics Quite likely, thats his style. But he's very popular with voters \u0026amp; we welcome his support for #Brexit"
"leave","Well that`s N/African migrants sorted,what about the other 1.6 million Asian who will be in the EU. #Brexit https://t.co/aVDx2ELPLl"
"leave","#VoteLeave #EUreferendum"
"leave","Spread the Word https://t.co/z5AsK3ZeAv #voteleave via @vote_leave"
"stay","News: Pound would fall 10% on Brexit vote, fund manager says https://t.co/3okcLWeALO"
"leave","#protectstatesovereignty https://t.co/ruFfKduETl"
"leave","That's how much of a friend asshole @POTUS Obama  really is - a @David_Cameron mate - not ours  https://t.co/8wDlK5fjse"
"leave","Don't believe those who talk #Britain down #voteleave and take back control from #Brussels. https://t.co/zoAlDAAV03 #Brexit #June23"
"leave","Good lord. Welcome to an entirely new experience. Agreeing with Nigel Lawson #bbcqt #VoteLeave"
"stay","@MichaelBrailsfo @howlinsheep @V0TE_LEAVE @StephenMangan All those on the brexit list are further down the twat list though"
"leave","@George_Osborne @CCHQPress Can this be done without EU intervention? Good!\n\nhttps://t.co/oxRu7YBnbP\n\n#Brexit"
"leave","Right for the first time #Blair, the way they stack is to use the EXIT door! #Brexit https://t.co/bkr4otZ2Be"
"stay","https://t.co/22vFFC81gb \n\n#Remain  #EUreferendum"
"leave","@raincoatgirl_ @bluehand007 Hope it's not too late to take UK back for you folks. Brexit and take charge again. Best of luck."
"leave","RT #FreeMarineAIn2016 =Hero to his kind! Please help free him! #DavidCameron \u0026amp; #GeorgeOsborne are #Traitors #Brexit https://t.co/aVrzE1r55O"
"leave","#DavidCameron admits Britain is more tooled up than the #EU on counter-terrorism ... https://t.co/fXnJ6by7CI #Europe https://t.co/7uPrAkPhMT"
"leave","@RickPoleway @AlfredTheOK @StrongerIn @StrongerInPress Leaving the EEC, rahter."
"stay","Lies \u0026amp; emotive keywords that are incongruous with @vote_leave. I guess you can't stop a few #gullible non-thinking lemmings tho. #Brexit"
"leave","We're being force fed fear like ducks being fattened up for foie gras' Why #Brexit is being sold wrong @MarketingUK\nhttps://t.co/XC0wDeFKvB"
"stay","EU workers fear impact of #Brexit on jobs https://t.co/I93aOTBGDQ @FT @gonzalovina"
"leave","@MuppetV2 @StrongerIn Hey, stronger in, Blair's your man. All the more reason for voting leave, get a free, democratic Britain back."
"stay","A bunch of us are waiting to hear about our Horizon 2020 bids before we commit ;) https://t.co/LgovQJis6i"
"stay","Japan’s prime minister warns over Brexit threat to investment\nAbe: Britain would no longer be ‘gateway’ to Europe\nhttps://t.co/97eKGuB1Dv"
"leave","Lorry driver on 1show pro-Brexit because he wants to work more hours. How scary  #fatiguekills #roadsafety"
"leave","@paulrey99 @StrongerIn\nEU has so many factions to please to get something through.\nUK alone is much more agile, will close deals faster."
"stay","Campaign goodies arrived @StrongerIn @NWStrongerIn https://t.co/cOhJy8uv3y"
"leave","He Is Lying to you all #Remain #RemainInEU @StrongerIn time to #TakeControl time to #VoteLeave and #Brexit https://t.co/UXQ65xqZEO"
"stay","in case you were unsure which side is the logical one https://t.co/w9G1mXlrqI"
"leave","West Ham have bid $31.5m for Batshuayi and the Brexit can't come fast enough for continental European clubs."
"leave","@Laura_AdjGov I read it thx and I am now even more determined to vote #BREXIT"
"leave","@NeilUKIP @marie52d What a terrible thing to say, none of us want to live under an oppressive regime...hence why we're all voting #BrExit"
"stay","Millennium Global Says Sell Pound, Sees Brexit Risk Underpriced https://t.co/InojzQDQ3B via @business"
"stay","Trump now maniacally encourages the destabilization of Europe: EU referendum: Donald Trump backs Brexit - https://t.co/JKyqbcN03w"
"stay","Bullshit like this is for people who want a reclusive UK anyway.\n\nI want #TakeControl over the NEIGHBOURHOOD\n#Remain https://t.co/BvN9suTiTl"
"stay","Abe meets Cameron, says Brexit would make U.K. less attractive for Japanese investors  https://t.co/mOBEXINACM via @japantimes"
"leave","Hence Government is terrifying BBC to dumb down its Brexit coverage https://t.co/dppeGycg3x"
"leave","Greenland left the EU in less than three years https://t.co/soCN7io721 #brexit #voteleave #euref #remain #go #britainout #leaveeu"
"stay","From the outside looking in I can see the argument on both sides #Brexit but if a gun were put to my head I would pick to stay in the EU..."
"leave","Another reason to vote #OUT in June. #Brexit https://t.co/CeWs1IxrjI"
"leave","We have a perfectly good Army and also NATO. Why an EU Army? She's emulating Hitler and his dreams!! VOTE OUT!! https://t.co/ckMCUnrui6"
"leave","#EU membership increases the costs of consumer goods https://t.co/soCN7io721 #brexit #voteleave #euref #remain #go #britainout #leaveeu"
"stay","This is exactly the kind of beetfaced nationalism we were talking about.\nFull Spode https://t.co/Q1EKnTeSCn"
"leave","Britain Better Off Without The European Union: Trump On Brexit: Donald Trump has said Britain would be better... https://t.co/3N5Ds1IaEB"
"stay","Let's hope so Dawn, on the present results people are not comfortable with change or UKIP would have won more seats. https://t.co/Zev11pMj7e"
"leave","@StrongerIn @alderleymel how about those that care more about the UK first, about sovereignty and about local democracy. How about that ?"
"leave","Nobody listens to Left leaning institutes like @TheEconomist We're the 5th biggest economy on the planet, we can take the hit #Brexit"
"stay","I used my card to get free dental treatment whilst working in Germany! Don't lose it #VoteRemain #LabourInForBritain https://t.co/UCo82jXMEh"
"leave","EU rules mean that we don’t have the power to intervene https://t.co/soCN7io721 #brexit #voteleave #euref #remain #EU #britainout #leaveeu"
"leave","Great this is a 3.2 min video and well worth watching. Great to show a confused #remainer. Vote #Brexit   https://t.co/6abFEzjP0n"
"stay","@EarlBrideshead @vote_leave Schengen has no Syrian border it has a border with Turkey, Turkey has a Syrian border."
"leave","Yes he fought #tyranny. He defended #Democracy. @StrongerIn was he risking his life to see it lost to #EU? #brexit https://t.co/Xkydmjoqd1"
"leave","@Dwalingen @ukleave_eu @Dinostratus @WyeLea @Nigel_Farage It tells me it is time to leave! https://t.co/OKUnMv5sFm"
"leave","so funny #brexit #timetoleave #ttip #tpp #SaveOurNHS  https://t.co/be9UCR4mGa"
"stay","UK would be 'better off' without EU @realDonaldTrump please destroy one country at a time, finish what you started. https://t.co/Aky8B2nufU"
"leave","Why pro-Europeans should back Brexit – to save Europe from the EU https://t.co/S2nnjB7A1u via @CityAM"
"stay","@puppyboy99 @DeviousTwink @disciplinedlad well the incentive is that you're only released if we avoid #Brexit !"
"leave","@rodbishop15 I can only see this benefiting brexit in long run as more and more people realise the absolute folly of remaining in the EU."
