,Product,Consumer complaint narrative
472793,Consumer Loan,"On XXXX XXXX, 2015 I was in an accident where my car was totaled by the other party. The insurance company as well as I have been requesting documents from Ally Financial to send so they are paid. I have called every other day since finding out that car was totaled and what was needed for the insurance company to issue payment. Ally has sent the documents twice with the wrong information which is baffling to me because I was on the phone when the Ally rep repeated the correct amount to the insurance agent. I, along with an insurance representative spoke to a representative for Ally on Tuesday, XXXX XXXX, 2015 and we were told that it could be another week before they receive the proper documents. This alone poses another problem because interest is accruing during this process and my Gap insurance ca n't payout until the insurance company pays and the insurance company ca n't pay until they receive the proper documents from Ally. This has been frustrating and very time consuming with the numerous calls that have been made and the wait times to speak with someone. In addition to the documents being delayed an insurance rep and myself spoke with an Ally representative on XXXX XXXX, 2015 who knowingly lied about faxing documents and saying they would be received within an hour. The Ally rep was caught in the lie when the insurance rep asked her to verify the information and she could n't. This has made me believe that Ally is n't interested in closing out this account and surely not in a timely manner."
358961,Mortgage,"Our original Mortgage was through XXXX. They were picked up by XXXX, then passed on to Greentree ( XXXX ). They got into trouble and was picked up by Ditech. When Greentree acquired our mortgage I was at a XXXX with my wife and out of the loop for over 60 days ( XXXX to XXXX ). I continued sending our payments to XXXX, they in turn sent the payments on to Green tree. Greentree jumped our payments, stating our Escrow account was delinquent. It was not, but we sent the extra amount without question. At the end of the year they had to return the overage back to us, some {$920.00} by federal law. Ditech tried the same thing about the Escrow account. We ignored the the request because we had received some {$1400.00} with the understanding it was an overage to our Escrow account from Greentree. We continued sending our original amount and have never been late nor missed a payment to Ditech. Ditech and Greentree tried to force us into refinancing by threatening foreclosure. We were referred to XXXX. We would have been approved and charged {$3000.00} and returned to Ditech as our mortgage holder. We refused the loan and continued to make our original payments. About 2 months back we received a package in the mail to reduce our payments from the original amount of {$630.00} to $ XXXX and adding the famous {$3000.00} to our $ XXXX amount left on the mortgage. We called for a final payoff and found Ditech had jumped our mortgage by {$3000.00} without our approval. We have been sending our payments of {$630.00} registered with a return receipt to prove we did not approve their offer. We have sent a complaint to Oregon Dept. of Justice and to the state agency that approved Ditech to operate in the State of Oregon. Copies of our complaints will be sent to your org. in a later submission due to scan problems."
690058,Debt collection,In XXXX I sent this company a request for validation. The company failed to provide me with the contractual agreements and statements that I had asked for and continued reporting the account on my credit report. This is a blatant disregard of my rights. It 's obvious this is frivolous debt which can not be validated.
465831,Debt collection,"My family and I had a Family Plan with XXXX. In XXXX of 2016, my brother and sister called XXXX to terminate the plan and disconnect all phones including a home phone for all of my family members. After 20 plus years we moved to XXXX XXXX XXXX. XXXX terminated my dad 's and my brother 's account in XXXX but left the lines open for my sister and me. Again, we called and asked for the phones to be disconnected in XXXX. Their response was it will close out on XXXX XXXX without further charges. Finally, my sister 's phone was disconnected. My phone was not disconnected so I called in XXXX and they said that it would be disconnected on the XXXX. I paid the remaining balance and I was told that would be it. It did not end, I called back in XXXX and the charges kept piling up for a phone I had not used since XXXX 2016. On XXXX XXXX, I called and asked what is the remaining balance to clear our account? The XXXX representative told me the total was {$97.00}. I paid the {$97.00} and was assured the remaining balance was {$0.00} and that the phone would be disconnected on XXXX XXXX with no further charges.The plan for the last number was finally disconnected on XXXX XXXX. However, XXXX kept accumulating the charges. I called once again in XXXX and explained to the representative what had happened since XXXX and he told me you have to pay up which I did not. XXXX then sent the account which is under my brother 's name to a collecting agency. 

I must also inform you that on XXXX separate occasions the XXXX representative agreed that there was no phone usage and we would not be continued to be charged. She mentioned to me it 's a glitch in our system but it should be taken care of soon. Unfortunately, it was n't and the charges kept piling up. Now, they tell me the current balance is {$140.00}. 

I can no longer access the statements or usage from the Family Plan because my account is past due according to them. I have attached pertinent information that will provide evidence to my situation."
473710,Credit reporting,"I received my consumer report from Chex Systems and upon reviewing my consumer report, I discovered some unauthorized and fraudulent inquiries listed on my consumer report. The following inquiries listed on my consumer report are unauthorized and fraudulent : XXXX XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
158444,Credit reporting,"There is an outdated item listed which is Past the statute of limitations, I have tried to dispute this with no outcome which is XXXX # XXXX."
302233,Credit reporting,"I have incorrect information on XXXX, XXXX and TransUnion reported by XXXX ( Medical/Health Care ) for the amount of {$720.00}. Submitted for collection on XX/XX/XXXX to ; XXXX XXXX # XXXX. XXXX XXXX XXXX XXXX, PA XXXX ( XXXX ) XXXX. 
I have requested proof through XXXX, XXXX and TransUnion, but have never received it. I have also called XXXX XXXX and requested proof that I am in fact liable for this debt, but have received no proof as of XXXX."
63286,Bank account or service,"i was charged an overdraft fee twice by bank of america when i did not sign up for the protection. One of the fees was for a debit transaction for netflix on XXXX/XXXX/2016 On or about XXXX/XXXX/16, I was charged an overdraft fee for a check. The check was paid even though i had a negative balance at the time, and i paid to stop the check."
718866,Student loan,"I am a single mother struggling finically. I graduated back in 2010 and have a total balance due of XXXX. I called Navient so they can try to assist me with a rate reduction plan, and according to my representative I did n't qualify because I was enrolled in that program prior. They reviewed my bank statements and clearly saw money was an issue. Instead XXXX trusty from Navient belittled me and said I need to learn how to budget. A single mother trying to feed her child, pay for my child 's needs, food, rent, transportation, etc, should not be told how to manage their finances when there barely getting by. She had no right to talk to me in that way which has emotionally taken a toll on me. I was trying to make a payment and she denied what I was trying to offer and threatened me saying my loans will be in default and I would need to go to court and pay the XXXX up front. She has been so unhelpful and I hope no one has to encounter what I am going through."
579194,Mortgage,In 2015 I was approved for the Florida Hardest Hit Program where that program paid my mortgage payments for 12 months due to my hardship. I also was approved for the amount of {$18000.00} that would have went toward a portion of my amount to reinstate my mortgage but my Servicer refused those funds because it was not the total amount to reinstate. I recently completed my participation with the Hardest Hit Program and due to a decrease in my income I went to a HUD approved HUD Counseling agency to applying for a loan modification and the servicer has informed me that due to my mortgage being 3 years in arrears and a new rule set forth by CFPB they can not open a file for me to be considered for a retention option. I feel this is an unfair ruling based on if my servicer would have taken the {$18000.00} I was approved for by the HHF Program that would decreased the amount of delinquency and would have helped me in my attempt to save my home form foreclosure. I recently have increased my income and I am seeking a favorable solution to save my home.
338616,Mortgage,"I was working with Freedom Mortgage on a mortgage refinance. Every time I was asked for information, I always responded with 24 hours of the request. After not hearing anything for quite some time, I reached out to my loan processor to ask for the status. He stated my loan went dormant because they were awaiting a csubordination with the title company. Due to internal priorities at Freedom Mortgage, loan refinancing takes a backseat to new purchases. My loan was not a priority for them and it clearly showed. To make things worse, I received an email ( not a phone call ) from my loan processor 3 weeks after my loan had been closed stating that I need to reapply."
489582,Mortgage,"have spoken with Green Tree Servicing on multiple occasions. They have advised me that I had missed the XX/XX/XXXX payment. I sent them all of our payment records for XX/XX/XXXX reflecting XXXX payments had in fact been made in XX/XX/XXXX. After filing a "" Qualified Written Request '' for information, I received a letter stating the payment missing was from XX/XX/XXXX when we were in a chapter XXXX Bankruptcy. The information that was given by phone when I disputed a missed XX/XX/XXXX payment was not explained to be from XX/XX/XXXX. I would have corrected the payment immediately if they would have been honest about what the issue was. I will also be filing a complaint for their collection practices as they have contacted a family member on XXXX occasions. The most recent time was after they had been informed not to contact our son as he does not live with us nor is he a party to the transaction. 


I will make the payment that they state was missing from XX/XX/XXXX. I do n't know what the resolution is for them as they have given me false information regarding the debt over the phone and were very rude when I tried to explain that they payment in question was not missed in XX/XX/XXXX. A fair resolution would be for them to reimburse me for the payment that they state was missed and apply it to my account since they were not honest about what they were trying to collect."
298483,Bank account or service,"On XX/XX/2017 I went to USAA Financial service branch located in XXXX NC to make a deposit into my savings account. I used their owner operated ATM I believe it was # XXXX located outside of the front door depositing a check in the amount of {$10000.00} the ATM allowed the check to go all the way in the slot but did not seem to take hold of it. I was unable to retrieve it as there was not enough available to remove it so I used an envelope I had to push it in a little more, it then grabbed the check and the envelope moments latter spitting the envelope out. No check the transaction was cancelled by the ATM. I immediately contacted USAA finally after speaking to Deposit Executive Resolution Team was told they would put a rush on it and money would be placed in my account on hold. Today no money was in my account. I called today as was told it would take up to 72 business hours to resolve the issue. I told them this is not acceptable this is an ATM at their financial location owned by them a location they are planning to close at the end of the month and while I was sitting there on Sat other clients told me the other ATM were not working. So it seems they have made a conscious decision not to maintain these ATM 's and I am being punished for their poor maintenance and horrible customer service. the case # XXXX. I asked 4 times to have their security people contact me and have not heard from them I was told by XXXX today that they can not make phone calls??? What ever that means. I want them to preserve the video tapes and all the ATM records I also asked for written records of this claim and was refused I find that highly suspect. 
This issue should have been resolved this AM when the branch opened however I have been told they require 72 hours that is their process. More like abuse."
121042,Debt collection,"I have been receiving collection calls from Ally Financial after I explained to them I am not the party they are seeking please remove my number and do not call my cell. I have received XXXX more calls this week from XXXX harassing me, these calls were made on XXXX and XXXX to my cellXXXX. I understand they are currently in violation of the FDCPA prohibiting calls to my cell after I have told them numerous times not to contact me I am not the correct party. I will also send this complaint to the CEO of the company"
60400,Credit reporting,"I am responding to a letter I received from Experian regarding a suspicious request made on my credit file. Based on my understanding of the letter, it looks like Experian is refusing to complete my request because they believe the letter I wrote them was not sent by me. 
I would like Experian to know that I did in-fact send them a letter disputing information on my credit report. I also give Experian my expressed and written consent to continue with the investigation of my accounts per the dispute letter I wrote to them. 
Since I have not experienced this situation before, I would very much appreciate Experian providing me with an explanation of my rights specifically pertaining to how I am allowed to dispute information on my credit report. 
I would also like to know specifically what made my letter "" suspicious '' and why Experian thinks I did not write my letter to them. Did I say something in my letter that they think I am not smart enough to write myself? 
I have reviewed Experian 's website to determine what steps I am required to take to dispute my accounts and thought I had followed all instructions : I sent in a copy of my ID, proof of my social security number and proof of my address. I would be very grateful for a step by step explanation from Experian detailing the specific information I may have missed from their website. 
I would like Experian to let me know if I am allowed to re-write my letter, and if so, would Experian be so kind as to provide me with an example of a letter that would be acceptable to them? 
I am just a regular person and do not have the money to be represented by an attorney or any other agency. I work all day and can not afford to take time off work to dispute my accounts. So I would like Experian to tell me if completing a dispute over the phone would provide me with the same outcome as a letter? And if the results would be the same, why is Experian choosing to not accept my letter and my humble request for an investigation of my accounts?"
361479,Mortgage,"I had a payment of {$53000.00} sent overnight to Nationstar Mortgage , LLC. THe addressed used was the address on the website to accept overnight payments. It was received by their mailroom at XXXX on XX/XX/XXXX. After more than two hours over the last two days they still have not been able to tell me anything about this payment other than to ask if my check had cleared my account. I tried to remind them that this was a cashier 's check not a personal check. Today the call began approximately XXXX and ended at XXXX. I repeatedly asked for a supervisor, was promised I would be connected "" now '' numerous times over a 30 minute time period, to a XXXX XXXX ... I was transferred to hold music and finally a XXXX XXXX answered. She finally took me up on my oft repeated offer to send a copy of the cashiers check and XXXX waybill to help her research department. She said it could take 7 days. This payment was to reduce the loan balance below what the net proceeds are for the sale of this home. If this payment is not applied the sale of the home could be cancelled. The title company handling the sale is waiting to hear that the payment was applied but soon the time limit for completion of the required paperwork will expire. The sale is to close XX/XX/XXXX. She verified that she had received the email containing the payment information."
660207,Debt collection,"A few years ago XX/XX/XXXX, ( unfortunately I ca n't remember the date ), I ordered XXXX. The service tech came, installed the product. Within a matter of days XXXX XXXX would n't work. At the cost of {$50.00} a tech came and fiddled around with the system got it working and stated that I will never get good reception because of the trees on my property. A couple of days later I called XXXX again because of no reception. Again, at the fee of {$50.00}, the tech stated I would need to have my trees removed to get good reception. I called XXXX XXXX and asked that they come and remove their system from my home. I called my previous carrier who showed up that very day to reinstall my XXXX XXXX. 
XXXX sent me a shipping box to send them back their product. I paid my remaining bill and felt assured they were now a part of my past. Since that time XXXX XXXX has been trying to collect {$410.00} from me. XXXX states that when I requested their service it was "" understood '' that I was in a 2 year contract with them! I NEVER agreed to such a contract. They stated because I broke the contract, I owe them this money!!! 
I feel they owe ME money!! I never received the service from them that I paid for. I had it for less than a month and it was never explained to me that I was in a 2 year commitment with them. I recently received a debt collection notice from a collection agency. I called them, stated this information again and they stated they will notify XXXX of my dispute and I should hear back in 60 days. I have had this conversation over and over and over again with XXXX XXXX. From my last conversation with XXXX, I "" understood '' they were closing this case and I did n't owe them. I was very surprised to receive a debt collection notice from a collection agency. 
I need your help to get them to STOP trying to collect money I DO NOT OWE THEM."
192555,Bank account or service,"I paid off my loan with ally bank back in XXXX. I cancelled my XXXX insurance, and the dealer sent it to ally bank on XXXX XXXX, 2016. I called Ally bank customer service in the XXXX spoke to XXXX. She stated thearlier check was cashed on XXXX XXXX. First off, my loan was paid off. Ally had no reason to cash this check when the account was ahd has been paid off. Then she proceeded to say I have to wait 10 business days for that check to clear. Then, I have to wait an additional XXXX to 5 days to mail it. Meanwhile ally earns interest on my money. Ally stated they endorsed the check that had my name on it as well. Ally had no right to cash a check that did n't belong to them at all. I tried speaking to a supervisor but of course I was told XXXX to 72 hours before I would be able to talk with someone. My question is why would they cash my check when the balance is zero and then hold my check until 15 days? I 'm not really happy with them and cashing of my check they could have returned it or signed off on it and sent it to me to worry about a dealership check clearing. Not to mention checks clear now within XXXX to 2 business days due to check XXXX when that took place. Meanwhile, I 'm the one who is waiting for my check that I 'm entitled to especially when there is no Balance and my account was closed. Ally needs to be taught business practices and to stop this way of doing business .. I paid my car payments on time and I did n't make them wait to talk to me at any point. I 'm sick of these big companies taking advantage of us consumers."
637291,Payday loan,"I received a loan of {$3500.00} from Rise Credit 3 months ago during which time the company never advertised the loan as a payday loan. I had an installment agreement and the payments were scheduled to be automatically deducted from my bank account at the end of each month. I began to review my balance on my account after payments and noticed my balance actually increased by the end of each week. I recently contacted a representative at Rise Credit and was informed the "" loan '' accrues interest on a daily basis and that a majority of my monthly payments was actually being used to pay accrued interest. In other words, my balance will decrease at a very slow rate over a very long time period. I informed the representative none of this was ever stated to me when I applied for and was approved for the "" loan ''. His response was "" well this is how a payday loan works ''. I informed him I would have never accepted a loan with a daily accrual of interest. Is this loan legal in the State of Georgia? I am trying to figure out a way I can legally address this loan which is undoubtedly under what is best described as a shark tactic lending process."
775727,Credit reporting,"Dear Sir, lady XX/XX/XXXX my score with Experian was XXXX. 
XX/XX/XXXX Experian lower my score XXXX points to XXXX for no reason whatsoever without an explanation. 
I expected my score to be raised since I have no outstanding debts, no late payments, no inquiries since XX/XX/XXXX and just paid back in full to XXXX card the {$1900.00} used to buy airline ticket to the XX/XX/XXXX Holidays with my family in XXXX. 
My score with XXXX is XXXX as of XX/XX/XXXX. 
I want file a complaint against Experian Regards, XXXX XXXX Last XXXX digits of my Social Security : XXXX"
212351,Credit card,"American Express engaged in billing practices that were unfair and unpredictable, and resulted in wrongful interest charges of {$560.00} on my account since XX/XX/XXXX I attempted to contact American Express about these matters on several occasions, and was told that I would receive a call back from a supervisor in the credit department, but to date I have not. 

I use the charge type breakdown tool on American Express 's website to pay my credit card charges in an itemized fashion for easy track-back for accounting purposes later. Apparently I made a miscalculation when paying my XX/XX/XXXX credit card bill, and fell short of the total amount due by {$74.00}. But the interest charge that American Express charged me was calculated against the entire statement 's balance, not only the portion left over after I paid the rest of the bill. Given the amount of the unpaid portion of the bill, the amount of interest charged was well in excess of the stated APR, and indeed, in excess of the legal limit for most transactions in the XXXX. 

On the XX/XX/XXXX bill, AMEX showed a balance of XXXX as of XX/XX/XXXX, and payments had been received in the amount of {$7700.00}, plus credits had been applied in the amount of {$440.00}, for a remaining balance of {$74.00}. But AMEX charged me {$100.00} in interest. The remaining balance was just {$74.00}, so the interest charged was in fact 147 % of the amount remaining, not 19.24 % ( my published APR ). When I contacted AMEX to request that the interest charge be corrected or reversed, I was told that I had "" forfeited '' the interest "" waiver '' by failing to pay the entire month 's amount due in full, so interest would be charged against the entire month -- not just the unpaid portion. I was also told that I would henceforth be charged interest on ALL monthly statements. 

In light of this experience, I have tried to ensure that I pay down each itemized portion of my bill in full -- again, using the category-by-category tool provided by AMEX. I have multiple categories to pay down, including transportation, office supplies, meals, etc., and after attempting to submit multiple payments -- XXXX per category -- on my XX/XX/XXXX bill, I received an error message from the website, telling me that I could only submit XXXX payments per day. This was unknown to me at the time, and I am still unaware of where this policy is written on the AMEX website. It also seems unintuitive because the category-by-category tool has more than XXXX categories ; I ca n't believe I am the only person who has attempted to divide payments by category. 

I called AMEX because I was attempting to pay down my bill on the day it was due, so if I had to pay the rest of the bill the following day, I would end up late again and I was afraid of receiving an interest charge based on the entire month 's bill, not only the unpaid portion. He reiterated the XXXX-per-day policy ( I have yet to see this in writing ), and offered to get AMEX 's credit department on the phone to help me put through payments in advance of the XXXX XXXX Mountain Time payment cutoff time. Moments later he said that because XX/XX/XXXX -- the bill due date -- was a Sunday, the credit office was closed. I would be unable to submit the rest of my payments, but someone would contact me to take the rest of the payments and reverse any interest charges that were applied in light of my inability to submit the rest of the payments ( especially if that interest rate was based on the full month 's bill ). Unfortunately, no one has contacted me to date. 

( Finally : AMEX 's XXXX XXXX XXXX cutoff for payments is a source of great confusion, even for a customer that has been a customer for over a decade. It was described to me for the XXXX time by a phone agent last fall. This confusion resulted in some interest charges that I am requesting to be refunded under this complaint. )"
353056,Credit reporting,"There is a tax lien for XXXX dollars that I do not have or owe. I have not received any notices or any documentation from the state or city of a tax lien. All my taxes are current, I do not owe any back tax money."
527805,Credit reporting,This company has a debt on my credit report that is n't mine and keep readmitting it. I 've disputed it several times and its hindering my credit score.
262546,Mortgage,"Foreclosure-Illegal Process and Guidelines. 

My home is scheduled for Foreclosure Sale XX/XX/XXXX - TOMORROW. I have been told I am in a Trial Modification without my receiving any documents for me to sign. I only received information in a Monthly statement ( via mail ) that my monthly Trial Modifications were to start XXXX and payment needed to be received ON or Before XX/XX/XXXX. How can I have until XX/XX/XXXX BY LAW to make my monthly payment but have a SALE OF MY PROPERTY XXXX XXXX? This to me is against the LAW! Please assist with correcting this to protect me as a consumer. This does not seem to align with what 's law. NationStar now says I have to have my payment in by XX/XX/XXXX to stop foreclosure proceedings for XX/XX/XXXX. This is not right. They refuse to disclose any terms of a permanent modification ; and their papers say this is Trial Modification Offer not Trial Modification."
85375,Credit reporting,XXXX XXXX bank account # XXXX this account is a old account and should be removed it was closed by the grantor i would like it removed i tryed to contact transunion on the matter and got no where please remove this from my transunion report thank you
431627,Student loan,"I was never given an entrance exam to start college and I was told to get a private loan. After I used up the private loan they had me take out federal loans. I have asked Wells Fargo to help me since I ca n't afford to pay this loan, they refused to do anything. 

XXXX XXXX, Ohio"
214366,Credit card,"I would like some help/information. I have a credit card with Chase. My payment is due today. This morning I made a {$200.00} payment. When I got home from work XXXX XXXX and I knew my paycheck had cleared, I went to make another payment to complete the amount owed. The online process would not allow me to make another payment, so I called. The representative would n't allow me to, so I asked to speak to a supervisor. XXXX, the supervisor, also informed me I could not make another payment for 3 days from the same checking account. I asked where it stated that I could n't make a second payment. He could not find anything, but refused to take a XXXX payment, which means I will be paying interest on the balance XXXX {$1100.00} XXXX. What can I do? Thank you, XXXX XXXX"
542885,Mortgage,"We refinanced in XXXX with a FHA XXXX. Everything went well, or so we thought. In XXXX, Aspire Financial hit our credit again with a hard inquiry. I contacted my Loan Officer on XXXX, she had no clue why. I got a phone call shortly after from a manager with Aspire telling me that they had messed up the XXXX, and the only option was to do another refinance. He informed me we could not do another streamline and would have to do a full refinance, which would include more processes. He assured me that we would not be paying any of the closing costs for the second refinance, as it was their mistake, and they would drop our interest rate .5 % to match the payment amount as close as they could to the refinance amount. He sent the GFE reflecting this. I gathered documents and got them what they requested. They requested more, I got them what they needed. After several rounds of this, they ordered the appraisal. I contacted XXXX on XXXX to make sure they had made my insurance payment which was due on XXXX. She said she had my insurance. The appraiser came out on XXXX. I was told that was the last item needed, everything was being sent to underwriting for clear to close. On XXXX, XXXX emailed me to ask if I 'd made the XXXX payment to them. I informed her I made it on XXXX and asked if I was to make a XXXX payment. She told me no. On XXXX, I asked for an update. I was told they are having to transfer something internally that has to do with FHA and waiting on title company from previous transaction to give us the "" ok to proceed '' and I should hear something the next day. On XXXX, I asked for an update. XXXX told me she was going to follow up with FHA and would be in touch. She then told me we would close this month. Later on XXXX, my insurance agent contacted me letting me know my payment had not been made and my policy expired on XXXX. I contacted XXXX again, she told me she did have the insurance. On XXXX, I asked if I would be getting an answer about insurance. XXXX I emailed again asking XXXX if it had been paid, and that her emails were unclear and I needed an answer. XXXX she said she talked to servicing about insurance and was unable to answer my question. On XXXX, she said servicing would be contacting me about insurance and believed it had been fixed or was being fixed that day. XXXX XXXX also said he was checking on the escrow and would let me know ASAP. I never heard from XXXX again. XXXX got involved and got the insurance paid. I contacted my insurance agent on XXXX and was told they had received payment for insurance and the check date was XXXX. XXXX called on XXXX. We spoke about the whole situation. I asked about the XXXX payment. She said Oh, yes, we need it. So on XXXX, I made my XXXX payment to XXXX. XXXX, we were set up to close on XXXX at XXXX. XXXX I received disclosures with a higher interest rate than our initial GFE. XXXX could not find it anywhere in our file, so I sent a copy to her. She said they would fix it. Then said they could n't. I told her just go with it, if we were to close on XXXX, we just want it over. We never received a XXXX until around XXXX on XXXX at XXXX XXXX. The loan amount was the same as the paperwork showed in XXXX. I contacted XXXX, but she could n't give a reason. We did not sign. We 've received XXXX sets of disclosures since and a final HUD statement, all with different numbers, and still incorrect interest rate. I was also told my payment, which is {$77.00} higher than we were told. I 've been told they are putting numbers in so the bottom line is zero, but I feel like they are moving numbers around and we are paying some of the fees without knowing. Settlement fees have gone from {$11000.00} to {$6400.00} in 3 days. I need help. I do not feel comfortable signing anything with this company."
654872,Debt collection,"There is a number that keeps calling me and my family members requesting I call them with a claim number ( XXXX ). I have called them back twice. The first time I called they answered the phone "" legal department '' the second time I called they said "" mediation department ''. They claim I owe debits to a payday loan company from several years ago. I have never done business with any of the companies they claim I owe. The stated if I did not pay the "" settlement '' then legal action will be taken against me. They could not provide further informaton about the loan in question. I do not owe this debt and they continue to call me and my family members. I can not get them to stop. They do have my personal information. When I asked them the name of company they work for I was told it was XXXX XXXX out of XXXX Maryland I do not know how to get them to stop and protect my information."
178851,Debt collection,"Apartment complex. Active duty military lost pay XXXX. My wife and I had to find a home for our family that best fit our financial needs. We were, and still in a financial hardship. We gave them a thirty day notice, with completing paperwork they requested. We advised to them the situation with other issues with the complex, that were not being addressed. When we left the property we returned the keys. We had been given an estimate of what we would have to pay back because we were terminating our lease. It was n't even close to the amount of what is on me and my wife 's credit report. We were blind sided and never contacted except from a credit bureau with an amount not explained, just a number that we owed."
750420,Debt collection,i have held health insurance for over seven years. I found this account on my credit reports but have never had any correspondence from them regarding this account. My personal details where compromised in 2012. Please verify the address on this account because there has been attempts to open accounts from an address that is unknown to me in my credit files.
259883,Debt collection,"A few years ago I filed a complaint with FCC and fraudulent billing from XXXX XXXX. They were caught XXXX billing my account more then XXXX times. XXXX XXXX closed my account and issued me a refund and refunded all deposits. A XXXX later I started to receive bills from other companies over a {$99.00} charge. This charge was not accurate. I should never have been charged additional months when the account was closed and I was with another company. In addition, if I owned them money, why would n't they deduct the charges from the XXXX dollars that they over billed for. 

I filed complaints and I thought the issue was resolved, until 3 weeks ago. I found the "" charge-off '' from XXXX XXXX on my credit report. Today, I was surprised by a letter from Jefferson Capital Systems LLC stating they are taking over my XXXX XXXX account. There is XXXX reference to the amount on the account numbered : XXXX. 

1. I do not owe XXXX XXXX any money because my account was settled in full and I was issued a reimbursement for their XXXX billing. 
2. If this bill has already been listed as a "" charge-off '' how can another company take ownership over the account? 
3. I have already had my credit destroyed because I had the mistake of working with XXXX XXXX. They retaliated against me because I filed several complaints. 

XXXX XXXX has violeted my Fair Credit Report Act protection."
4609,Credit reporting,"I have disputed a file with Equifax concerning XXXX debt recovery. Equifax has no debt validations on this. XXXX has my correct info, however when I call the company that they represent, "" XXXX '', they have no record of me. Also Equifax is not reporting XXXX of my credit files. They are listed as an inquiry, however the items are not on my credit report. Also the files that are on my credit report only seem to update every 6 months or so. This is a horribly run company."
434942,Credit card,America Express reported me to the credit card agencies with no real explanation AND then said I was in good standing. I have very good credit. I tried calling over XXXX times and faxing letters and NO help whatsoever. It appears on my credit report as a negative. The laws need to be changed. If I paid for 10 years perfect and owe them nothing so that would 99.9 % that my account was paid and they have ruined it 100 % by making a false statement. The statue of limitations has expired.
722876,Student loan,I 've asked for multiple forbearances and only been given XXXX due to financial issues.
57235,Mortgage,"We have been approved for a Loan and three weeks later still do not have it ( see below ). We did supply all of the requested documents. 
Please help! 
XXXX and XXXX XXXX XXXX XXXX, XXXX XXXX XXXX to me Hi XXXX and XXXX Your loan is approved! We have the following conditions in order to clear the file for closing. Do you think you might be able to provide by close of business tomorrow? 
Letter from XXXX stating your intent to retire XXXX/XXXX/16 Can you access the gmbenefits site and get an update printout on pension benefits? Underwriter is looking for something more recent than XXXX Copy of account statement reflecting earnest money has cleared your account/copy of the cancelled earnest money check would be sufficient Letter from estate attorney explaining the deposit of XXXX from the sale of property Name and number for insurance agent Signed attached form XXXX XXXX XXXX XXXX Mortgage Loan Officer HomeServices XXXX LLC XXXX XXXX XXXX XXXX XXXX | XXXX, XXXX XXXX Office ( XXXX ) XXXX XXXX XXXX Cell ( XXXX ) XXXX | Fax ( XXXX ) XXXX XXXXXXXXXXXX XXXX XXXX If this email was sent to you as an unsecured message, it is not intended for confidential or sensitive information. If you can not respond to this e-mail securely, please do not include your social security number, account number, or any other personal or financial information in the content of the email. This may be a promotional email. To discontinue receiving promotional emails from HomeServices XXXX LLC, click here : XXXXXXXXXXXX HomeServices Lending, LLC does not offer loans in all states. 
Licensed by the Department XXXX under the XXXX Mortgage Lending Act. XXXX XXXX Mortgage License Number : XXXX. Regulated by the XXXX XXXX XXXX XXXX XXXX. Licensed by the XXXX XXXX Bank XXXX to engage in business XXXX, License # XXXX, Expiration XXXX/XXXX/16. XXXX XXXX Mortgage Licensee XXXX. XXXX XXXX Mortgage Company, License Number : XXXX. XXXX Mortgage Loan Act Certificate of Registration : XXXX XXXX ; XXXX Mortgage Broker Act Certificate of Registration : XXXX XXXX. XXXX Mortgage Lending License XXXX. XXXX XXXX XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX 2016 HomeServices Lending, LLC. All XXXX XXXX. XXXX XXXX XXXX XXXX"
279994,Student loan,"The schools, XXXX in XXXX, XXXX and XXXX in XXXX XXXX but did a scam and hard sell on my son. He was actually not going to school but gave him the loans. My mother in law cosigned the loan. She is XXXX XXXX XXXX with XXXX, they were suppose to remove her years ago, from being a cosigner and never did. We kept asking and they kept changing the conditions. My son has ask for a reasonable payment so he could pay XXXX XXXX a month ) they refused and now it 's going into default but we have paid the {$260.00} to keep it from going and wondering why the payment ca n't be that. They keep threatening my mother in law with lawsuits and to take her house! This is crazy in the XXXX they can threatened a XXXX XXXX XXXX women like that. They have frightened her. NAVIENT does not work with anymore in an reasonable amt, they just keep increasing the amount owed. How can they keep a cosigner on for years and keep threatening her and why do n't they just accept a reasonable payment that a person could afford?"
